Sport,Entry,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (2/98),12/24/16 13:00,39585,165.78,$8.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (5/98),12/24/16 13:00,39585,165.78,$8.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (85/98),12/24/16 13:00,42197,164.7,$8.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (35/98),12/24/16 13:00,50881,161.56,$8.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (63/98),12/24/16 13:00,52443,161.02,$8.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (68/98),12/24/16 13:00,58388,159.12,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (57/98),12/24/16 13:00,59462,158.8,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (91/98),12/24/16 13:00,60819,158.38,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (88/98),12/24/16 13:00,68873,156.06,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (11/98),12/24/16 13:00,69892,155.78,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (6/98),12/24/16 13:00,71047,155.48,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (67/98),12/24/16 13:00,72001,155.22,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (3/98),12/24/16 13:00,72169,155.18,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (97/98),12/24/16 13:00,72169,155.18,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (28/98),12/24/16 13:00,77683,153.78,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (96/98),12/24/16 13:00,78079,153.68,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (60/98),12/24/16 13:00,79037,153.42,$7.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (22/98),12/24/16 13:00,82473,152.58,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (34/98),12/24/16 13:00,87520,151.36,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (65/98),12/24/16 13:00,91624,150.42,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (61/98),12/24/16 13:00,97552,149.12,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (31/98),12/24/16 13:00,99263,148.76,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (89/98),12/24/16 13:00,104021,147.78,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (19/98),12/24/16 13:00,105038,147.58,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (27/98),12/24/16 13:00,110996,146.38,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (95/98),12/24/16 13:00,111940,146.18,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (7/98),12/24/16 13:00,112439,146.08,$6.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (17/98),12/24/16 13:00,123829,143.88,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (84/98),12/24/16 13:00,134255,142,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (23/98),12/24/16 13:00,140226,140.98,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (48/98),12/24/16 13:00,144019,140.32,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (42/98),12/24/16 13:00,146905,139.82,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (53/98),12/24/16 13:00,148698,139.52,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (87/98),12/24/16 13:00,150277,139.26,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (71/98),12/24/16 13:00,150456,139.22,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (59/98),12/24/16 13:00,162810,137.2,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (90/98),12/24/16 13:00,166714,136.58,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (39/98),12/24/16 13:00,167114,136.52,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (20/98),12/24/16 13:00,169399,136.18,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (47/98),12/24/16 13:00,169771,136.12,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (29/98),12/24/16 13:00,170216,136.06,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (37/98),12/24/16 13:00,171723,135.82,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (81/98),12/24/16 13:00,173044,135.62,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (56/98),12/24/16 13:00,174467,135.4,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (43/98),12/24/16 13:00,176202,135.12,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (75/98),12/24/16 13:00,177602,134.92,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (73/98),12/24/16 13:00,183350,134.02,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (14/98),12/24/16 13:00,188141,133.28,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (13/98),12/24/16 13:00,202658,131.08,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (70/98),12/24/16 13:00,203125,131.02,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (26/98),12/24/16 13:00,206057,130.58,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (52/98),12/24/16 13:00,208512,130.22,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (76/98),12/24/16 13:00,223506,128.02,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (51/98),12/24/16 13:00,232536,126.72,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (82/98),12/24/16 13:00,247291,124.62,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (49/98),12/24/16 13:00,253825,123.68,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (45/98),12/24/16 13:00,255647,123.42,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (50/98),12/24/16 13:00,264153,122.22,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (24/98),12/24/16 13:00,264416,122.18,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (25/98),12/24/16 13:00,264416,122.18,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (15/98),12/24/16 13:00,265099,122.08,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (21/98),12/24/16 13:00,268562,121.58,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (10/98),12/24/16 13:00,269273,121.48,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (80/98),12/24/16 13:00,272582,121.02,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (44/98),12/24/16 13:00,297000,117.52,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (55/98),12/24/16 13:00,308396,115.8,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (92/98),12/24/16 13:00,309102,115.68,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (54/98),12/24/16 13:00,311492,115.32,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (40/98),12/24/16 13:00,324457,113.32,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (78/98),12/24/16 13:00,324457,113.32,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (46/98),12/24/16 13:00,327801,112.78,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (74/98),12/24/16 13:00,350040,109.12,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (38/98),12/24/16 13:00,350647,109.02,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (36/98),12/24/16 13:00,352983,108.62,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (9/98),12/24/16 13:00,364136,106.58,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (41/98),12/24/16 13:00,367826,105.92,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (30/98),12/24/16 13:00,373260,104.86,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (18/98),12/24/16 13:00,374627,104.58,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (64/98),12/24/16 13:00,382977,102.92,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (33/98),12/24/16 13:00,385477,102.36,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (12/98),12/24/16 13:00,387128,101.98,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (62/98),12/24/16 13:00,390859,101.12,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (79/98),12/24/16 13:00,394342,100.32,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (98/98),12/24/16 13:00,394342,100.32,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (94/98),12/24/16 13:00,404611,97.68,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (16/98),12/24/16 13:00,407702,96.78,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (32/98),12/24/16 13:00,425843,89.76,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,NFL $1.5M Front Four Championship [$100K to 1st] (93/98),12/24/16 13:00,426167,89.58,$0.00 ,$0.00 ,441176,$4.00 ,"$1,500,000.00 ",115500
NFL,"NFL $300K Monday Night Showdown [$300,000 Guaranteed] (Mon-Thu)",12/19/16 20:30,67116,97.4,$0.00 ,$0.00 ,70588,$5.00 ,"$300,000.00 ",17675
NFL,12 Days of Giveaways NFL Single Entry Special (Thu),12/15/16 20:25,8089,111.92,$0.00 ,$0.00 ,11764,$4.00 ,"$40,000.00 ",2950
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (6/11),12/18/16 13:00,2337,173.96,$100.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (3/11),12/18/16 13:00,12243,154.72,$45.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (7/11),12/18/16 13:00,20261,147.34,$45.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (9/11),12/18/16 13:00,21852,146.14,$40.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (2/11),12/18/16 13:00,25003,144.04,$40.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (10/11),12/18/16 13:00,31016,140.4,$40.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (8/11),12/18/16 13:00,36969,137.12,$40.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (11/11),12/18/16 13:00,37858,136.68,$0.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (5/11),12/18/16 13:00,44862,133.24,$0.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (1/11),12/18/16 13:00,46196,132.64,$0.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $3.33M Fantasy Football Millionaire [$1M to 1st] (4/11),12/18/16 13:00,61894,126.14,$0.00 ,$0.00 ,142581,$27.00 ,"$3,330,000.00 ",37570
NFL,NFL $350K Monday Night Showdown [$25K to 1st] (Mon-Thu) (1/3),12/12/16 20:30,1677,140.74,$20.00 ,$0.00 ,82352,$5.00 ,"$350,000.00 ",23025
NFL,NFL $350K Monday Night Showdown [$25K to 1st] (Mon-Thu) (2/3),12/12/16 20:30,33479,114.34,$0.00 ,$0.00 ,82352,$5.00 ,"$350,000.00 ",23025
NFL,NFL $350K Monday Night Showdown [$25K to 1st] (Mon-Thu) (3/3),12/12/16 20:30,72410,98.76,$0.00 ,$0.00 ,82352,$5.00 ,"$350,000.00 ",23025
NFL,NOVEMBER SILVER STATUS FREE CONTEST [$50K],12/11/16 13:00,24823,82.7,$0.00 ,$0.00 ,27638,$0.00 ,"$50,000.00 ",738
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (5/9),12/11/16 13:00,10911,165.82,$50.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (7/9),12/11/16 13:00,30111,146.3,$40.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (6/9),12/11/16 13:00,70168,122.26,$0.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (8/9),12/11/16 13:00,70168,122.26,$0.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (3/9),12/11/16 13:00,85072,115.08,$0.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (1/9),12/11/16 13:00,108091,104.16,$0.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (9/9),12/11/16 13:00,113165,101.58,$0.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (4/9),12/11/16 13:00,123607,95.62,$0.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
NFL,NFL $3.6M Fantasy Football Millionaire [$1M to 1st] (2/9),12/11/16 13:00,135985,86.48,$0.00 ,$0.00 ,149785,$27.00 ,"$3,600,000.00 ",41395
MMA,"MMA $5K Haymaker [5,000 Guaranteed] (Televised)",12/10/16 20:00,1742,306.5,$0.00 ,$0.00 ,1960,$3.00 ,"$5,000.00 ",388
NFL,"NFL $350K Monday Night Showdown [$350,000 Guaranteed] (Mon-Thu)",12/5/16 20:30,39020,106.88,$0.00 ,$0.00 ,82352,$5.00 ,"$350,000.00 ",23025
NFL,LAST SHOT: $10M World Championship Qual #150 (Thu),12/1/16 20:25,18111,93.84,$0.00 ,$0.00 ,19125,$4.00 ,"$68,800.56 ",1365
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (2/10),12/4/16 13:00,57041,140.74,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (8/10),12/4/16 13:00,63436,138.54,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (5/10),12/4/16 13:00,63756,138.44,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (3/10),12/4/16 13:00,67246,137.26,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (7/10),12/4/16 13:00,71557,135.84,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (4/10),12/4/16 13:00,89352,129.84,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (1/10),12/4/16 13:00,93954,128.26,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (10/10),12/4/16 13:00,99720,126.14,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (9/10),12/4/16 13:00,116253,119.54,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (6/10),12/4/16 13:00,128811,113.24,$0.00 ,$0.00 ,149860,$27.00 ,"$3,500,000.00 ",39445
NFL,"NFL $250K Monday Night Showdown [$250,000 Guaranteed] (Mon-Thu) (4/4)",11/28/16 20:30,6025,135.72,$10.00 ,$0.00 ,58823,$5.00 ,"$250,000.00 ",15600
NFL,"NFL $250K Monday Night Showdown [$250,000 Guaranteed] (Mon-Thu) (3/4)",11/28/16 20:30,25463,120.28,$0.00 ,$0.00 ,58823,$5.00 ,"$250,000.00 ",15600
NFL,"NFL $250K Monday Night Showdown [$250,000 Guaranteed] (Mon-Thu) (2/4)",11/28/16 20:30,39780,111.32,$0.00 ,$0.00 ,58823,$5.00 ,"$250,000.00 ",15600
NFL,"NFL $250K Monday Night Showdown [$250,000 Guaranteed] (Mon-Thu) (1/4)",11/28/16 20:30,51152,101.96,$0.00 ,$0.00 ,58823,$5.00 ,"$250,000.00 ",15600
NFL,"NFL $60K Monday Night Showdown [$60,000 Guaranteed] (Mon-Thu)",11/28/16 20:30,1271,136.42,$12.00 ,$0.00 ,14117,$5.00 ,"$60,000.00 ",2795
NFL,NFL $3.75M Fantasy Football Millionaire [$1M to 1st] (1/4),11/27/16 13:00,41706,128.04,$40.00 ,$0.00 ,149175,$27.00 ,"$3,750,000.00 ",43395
NFL,NFL $3.75M Fantasy Football Millionaire [$1M to 1st] (2/4),11/27/16 13:00,57578,121.74,$0.00 ,$0.00 ,149175,$27.00 ,"$3,750,000.00 ",43395
NFL,NFL $3.75M Fantasy Football Millionaire [$1M to 1st] (3/4),11/27/16 13:00,126577,95.4,$0.00 ,$0.00 ,149175,$27.00 ,"$3,750,000.00 ",43395
NFL,NFL $3.75M Fantasy Football Millionaire [$1M to 1st] (4/4),11/27/16 13:00,146235,77.74,$0.00 ,$0.00 ,149175,$27.00 ,"$3,750,000.00 ",43395
NFL,$1K Email Exclusive Free Contest,11/27/16 13:00,2074,101.36,$0.00 ,$0.00 ,2804,$0.00 ,"$1,000.00 ",405
NFL,"NFL $200K Play-Action [$200,000 Guaranteed] (Afternoon Only)",11/27/16 16:05,29025,113.3,$0.00 ,$0.00 ,78431,$3.00 ,"$200,000.00 ",21770
MMA,"MMA $7K Arm Bar [$7,000 Guaranteed]",11/26/16 18:30,346,392.5,$0.00 ,$0.00 ,1647,$5.00 ,"$7,000.00 ",320
NBA,"Casual NBA $20K Zone [$20,000 Guaranteed]",11/25/16 19:00,2033,261,$0.00 ,$0.00 ,3961,$5.00 ,"$20,000.00 ",1177
